ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"S8nb64fGDd1lDsdcCyYs","ORZUM","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"SWK1b9lfCR0aKMYL2tMK","ARCHAZOR","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"SumrzjF4MTVIkm59GIKA","TURK TURIZM","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"T9b6tW9wuVD3FJDgnTcI","ZAMAN","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"TcZGg6siy3vdNW9J968a","VOLGA (ВОЛГА)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Tm7FJ5tpWaf0jLJmDwjJ","GREEK FOOD","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"U9TLqywzvKvyUhEzn1js","2290","https://ik.imagekit.io/php1jcf0t/5_-M6X13Rdo.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"UIhvfq81yobkjCxmwHsp","COURTYARD (STICK - OQ)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Uji7nAXcJk8R4RYzvEEG","TERRA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"UmAVTxfkUuNu4wCF2Olb","PLAN B","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"UoLYvCTSPwmdR68kQZ5u","CORNER HOTEL","https://ik.imagekit.io/php1jcf0t/CORNER_7jzOcbvAp.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
